"Display_Row","Drug","Percentage","Cohort","Group","Total_Species","Sig_Count"
"Veillonella (MetaCardis)","Irbesartan",0.153846153846154,"MetaCardis","Veillonella",13,2
"Veillonella (MetaCardis)","Lansoprazole",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Liraglutide",0.153846153846154,"MetaCardis","Veillonella",13,2
"Veillonella (MetaCardis)","Metformin",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Metoprolol",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Nifedipine",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Olmesartan",0.153846153846154,"MetaCardis","Veillonella",13,2
"Veillonella (MetaCardis)","Omeprazole",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Prasugrel",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Pravastatin",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Rabeprazole",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Repaglinide",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Rivaroxaban",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Rosuvastatin",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Sitagliptin",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Torasemide",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Verapamil",0,"MetaCardis","Veillonella",13,0
"Veillonella (MetaCardis)","Vildagliptin",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Veillonella (MetaCardis)","Warfarin",0.0769230769230769,"MetaCardis","Veillonella",13,1
"Streptococcus (MetaCardis)","Acarbose",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Allopurinol",0.027027027027027,"MetaCardis","Streptococcus",37,1
"Streptococcus (MetaCardis)","Alogliptin",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Amiodarone",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Amlodipine",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Apixaban",0.027027027027027,"MetaCardis","Streptococcus",37,1
"Streptococcus (MetaCardis)","Aspirin",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Atenolol",0,"MetaCardis","Streptococcus",37,0
"Streptococcus (MetaCardis)","Atorvastatin",0,"MetaCardis","Streptococcus",37,0
