Taxon,age_association_controls,CRC,CVD,NAFLD_FLD,Parkinsons,Polyps,T2D
Gordonibacter_pamelaeae,0.0,0.111110000011111,0.49999750001249993,0.0,0.333330000033333,0.0,-0.1666650000166665
Eubacterium_sp_CAG_274,-0.0555550000055555,0.0,-0.24999750002499976,0.0,0.0,0.0,0.0
Intestinibacter_bartlettii,0.11111055555833331,0.0,0.0,-0.333330000033333,0.0,0.0,0.0
Flavonifractor_plautii,-0.07407382716131686,0.22222111111666662,0.24999750002499976,0.0,0.0,-0.19999800001999982,0.4999983333388889
Streptococcus_thermophilus,0.16666611111296295,-0.111110000011111,-0.24999750002499976,0.0,0.0,0.0,-0.3333316666749999
Bacteroides_coprophilus,0.0,0.0,-0.24999750002499976,0.0,0.0,0.0,-0.1666650000166665
Collinsella_aerofaciens,-0.0555550000055555,0.3333322222259259,0.7499975000083333,0.0,0.333330000033333,0.0,0.4999983333388889
Roseburia_sp_CAG_303,-0.0555550000055555,-0.5555544444466667,0.0,0.0,0.0,0.0,-0.1666650000166665
Megamonas_funiformis,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Prevotella_copri,0.027777638889583324,-0.111110000011111,-0.49999750001249993,-0.333330000033333,-0.333330000033333,0.19999800001999982,0.0
Clostridium_citroniae,-0.16666611111296295,0.3333322222259259,0.24999750002499976,0.333330000033333,0.0,0.0,0.1666650000166665
Mitsuokella_multacida,-0.0555550000055555,0.0,0.0,0.0,0.0,0.19999800001999982,0.0
Victivallis_vadensis,0.0,0.0,0.0,0.0,0.333330000033333,0.0,-0.1666650000166665
Roseburia_sp_CAG_309,0.0555550000055555,-0.22222111111666662,-0.24999750002499976,0.0,0.0,0.0,0.0
Parabacteroides_johnsonii,0.0,0.0,0.24999750002499976,0.333330000033333,0.0,0.19999800001999982,0.1666650000166665
Coprobacter_secundus,-0.07407382716131686,0.0,-0.24999750002499976,0.0,0.0,0.0,0.1666650000166665
Streptococcus_salivarius,0.07407382716131686,-0.111110000011111,0.49999750001249993,0.0,0.0,0.0,0.1666650000166665
Bacteroides_faecis,0.0,0.111110000011111,0.0,-0.333330000033333,0.0,-0.09999950000249998,0.3333316666749999
Bacteroides_galacturonicus,-0.11111055555833331,0.0,-0.24999750002499976,0.0,0.0,0.0,0.0
